,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
653,0.903,0.839,11,-9.447,0,0.208,0.0939,0.0,0.102,0.727,133.986,audio_features,7b4ky1LlQLFhXHmhZkFgqV,spotify:track:7b4ky1LlQLFhXHmhZkFgqV,https://api.spotify.com/v1/tracks/7b4ky1LlQLFhXHmhZkFgqV,https://api.spotify.com/v1/audio-analysis/7b4ky1LlQLFhXHmhZkFgqV,190537,4
654,0.7,0.806,11,-4.818,0,0.0491,0.00132,0.0,0.0579,0.616,110.016,audio_features,6sWd8ZAH5bWWyjwb7ZV2Zb,spotify:track:6sWd8ZAH5bWWyjwb7ZV2Zb,https://api.spotify.com/v1/tracks/6sWd8ZAH5bWWyjwb7ZV2Zb,https://api.spotify.com/v1/audio-analysis/6sWd8ZAH5bWWyjwb7ZV2Zb,174880,4
655,0.852,0.67,10,-9.262,0,0.0602,0.203,0.00266,0.106,0.786,137.015,audio_features,1ThWuqpphgu4N5yi5FbBiR,spotify:track:1ThWuqpphgu4N5yi5FbBiR,https://api.spotify.com/v1/tracks/1ThWuqpphgu4N5yi5FbBiR,https://api.spotify.com/v1/audio-analysis/1ThWuqpphgu4N5yi5FbBiR,178202,4
656,0.714,0.735,4,-7.125,0,0.0306,0.176,0.000622,0.115,0.68,123.57,audio_features,6Pur3hWy6Nzc27ilmsp5HA,spotify:track:6Pur3hWy6Nzc27ilmsp5HA,https://api.spotify.com/v1/tracks/6Pur3hWy6Nzc27ilmsp5HA,https://api.spotify.com/v1/audio-analysis/6Pur3hWy6Nzc27ilmsp5HA,222227,4
657,0.737,0.614,6,-6.001,0,0.4,0.0168,0.0534,0.0682,0.406,127.987,audio_features,4ta97KyyCWLCQAAFtOWFpy,spotify:track:4ta97KyyCWLCQAAFtOWFpy,https://api.spotify.com/v1/tracks/4ta97KyyCWLCQAAFtOWFpy,https://api.spotify.com/v1/audio-analysis/4ta97KyyCWLCQAAFtOWFpy,368476,4
658,0.293,0.715,7,-7.388,0,0.0398,0.0338,0.0,0.0778,0.172,181.956,audio_features,2E1KhPanm8zFj50CfdTLjg,spotify:track:2E1KhPanm8zFj50CfdTLjg,https://api.spotify.com/v1/tracks/2E1KhPanm8zFj50CfdTLjg,https://api.spotify.com/v1/audio-analysis/2E1KhPanm8zFj50CfdTLjg,218720,4
659,0.529,0.257,2,-7.426,1,0.0311,0.611,0.0,0.113,0.16,120.083,audio_features,5zbpdOuaFibWW4MH0PCchl,spotify:track:5zbpdOuaFibWW4MH0PCchl,https://api.spotify.com/v1/tracks/5zbpdOuaFibWW4MH0PCchl,https://api.spotify.com/v1/audio-analysis/5zbpdOuaFibWW4MH0PCchl,233653,4
660,0.521,0.746,5,-3.421,1,0.0349,0.0486,0.0,0.236,0.15,132.014,audio_features,600oiqLkQIJ85HvQGIQWvO,spotify:track:600oiqLkQIJ85HvQGIQWvO,https://api.spotify.com/v1/tracks/600oiqLkQIJ85HvQGIQWvO,https://api.spotify.com/v1/audio-analysis/600oiqLkQIJ85HvQGIQWvO,196107,4
661,0.688,0.729,4,-6.56,0,0.0573,0.437,0.00369,0.0928,0.469,110.055,audio_features,7aQeWViSfRWSEwtJD86Eq0,spotify:track:7aQeWViSfRWSEwtJD86Eq0,https://api.spotify.com/v1/tracks/7aQeWViSfRWSEwtJD86Eq0,https://api.spotify.com/v1/audio-analysis/7aQeWViSfRWSEwtJD86Eq0,251029,4
662,0.422,0.908,2,-3.019,1,0.0452,2.03e-05,0.0688,0.148,0.112,94.033,audio_features,29EAXbPh9fZdJEfl57TuqG,spotify:track:29EAXbPh9fZdJEfl57TuqG,https://api.spotify.com/v1/tracks/29EAXbPh9fZdJEfl57TuqG,https://api.spotify.com/v1/audio-analysis/29EAXbPh9fZdJEfl57TuqG,247667,4
663,0.452,0.977,1,-3.75,1,0.0602,3.63e-06,0.345,0.136,0.196,130.008,audio_features,6zROcM9OvgYBjvnOnJ6nHE,spotify:track:6zROcM9OvgYBjvnOnJ6nHE,https://api.spotify.com/v1/tracks/6zROcM9OvgYBjvnOnJ6nHE,https://api.spotify.com/v1/audio-analysis/6zROcM9OvgYBjvnOnJ6nHE,220368,4
664,0.559,0.259,6,-7.097,1,0.0276,0.88,0.0,0.136,0.0568,104.269,audio_features,2aBjD2hBxEzGQ6Id75OtLP,spotify:track:2aBjD2hBxEzGQ6Id75OtLP,https://api.spotify.com/v1/tracks/2aBjD2hBxEzGQ6Id75OtLP,https://api.spotify.com/v1/audio-analysis/2aBjD2hBxEzGQ6Id75OtLP,224053,4
665,0.683,0.738,8,-6.235,1,0.0925,0.0555,0.0,0.101,0.529,95.002,audio_features,2HMJpY1ZovzzuakKnDydyk,spotify:track:2HMJpY1ZovzzuakKnDydyk,https://api.spotify.com/v1/tracks/2HMJpY1ZovzzuakKnDydyk,https://api.spotify.com/v1/audio-analysis/2HMJpY1ZovzzuakKnDydyk,165134,4
666,0.711,0.721,0,-4.692,1,0.264,0.148,0.0,0.426,0.747,92.979,audio_features,7gax54kn1HpFEgtXF1lNmm,spotify:track:7gax54kn1HpFEgtXF1lNmm,https://api.spotify.com/v1/tracks/7gax54kn1HpFEgtXF1lNmm,https://api.spotify.com/v1/audio-analysis/7gax54kn1HpFEgtXF1lNmm,158922,4
667,0.388,0.707,7,-7.507,1,0.0313,0.741,0.813,0.297,0.775,110.814,audio_features,00ocWFudP9Ly3wZd82z5Tp,spotify:track:00ocWFudP9Ly3wZd82z5Tp,https://api.spotify.com/v1/tracks/00ocWFudP9Ly3wZd82z5Tp,https://api.spotify.com/v1/audio-analysis/00ocWFudP9Ly3wZd82z5Tp,310067,4
668,0.461,0.848,9,-4.947,1,0.035,0.11,1.37e-05,0.22,0.726,159.974,audio_features,5gQINDMRCts4pxN6OhDabF,spotify:track:5gQINDMRCts4pxN6OhDabF,https://api.spotify.com/v1/tracks/5gQINDMRCts4pxN6OhDabF,https://api.spotify.com/v1/audio-analysis/5gQINDMRCts4pxN6OhDabF,218173,4
669,0.759,0.694,5,-4.075,0,0.0418,0.0544,0.0,0.131,0.374,117.056,audio_features,7p0tz5SeCrSxTLSvwR8W3D,spotify:track:7p0tz5SeCrSxTLSvwR8W3D,https://api.spotify.com/v1/tracks/7p0tz5SeCrSxTLSvwR8W3D,https://api.spotify.com/v1/audio-analysis/7p0tz5SeCrSxTLSvwR8W3D,199580,4
